iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
319,27.93,21.9586,29.5619,22.6625,0.3931,1.0e-04,,,5.4
320,27.14,21.4547,28.4303,22.6829,0.3802,1.0e-04,25.30,0.25,5.4
321,27.01,21.3590,28.2562,22.8692,0.3776,1.0e-04,,,5.4
322,26.78,21.1453,28.4799,23.0531,0.3903,1.0e-04,,,5.4
323,27.34,21.6203,29.4800,22.9801,0.3887,1.0e-04,,,5.4
324,27.29,21.4379,29.5061,22.6483,0.3993,1.0e-04,,,5.4
325,27.70,21.6832,29.6039,22.9155,0.4023,1.0e-04,,,5.4
326,27.87,21.8477,28.4394,22.5774,0.4016,1.0e-04,,,5.4
327,27.72,21.8090,29.2204,22.5947,0.3963,1.0e-04,,,5.4
328,27.31,21.4813,28.6641,22.7219,0.4007,1.0e-04,,,5.4
329,27.84,22.0660,28.6207,22.9667,0.3855,1.0e-04,,,5.4
330,28.77,22.9773,29.4236,22.6676,0.3818,1.0e-04,25.83,0.28,5.4
331,27.24,21.5109,29.3398,22.6173,0.3851,1.0e-04,,,5.4
332,27.51,21.7445,28.6657,22.8089,0.3927,1.0e-04,,,5.4
333,27.11,21.4145,27.8698,22.9122,0.3818,1.0e-04,,,5.4
334,28.36,22.5469,28.8799,22.7816,0.3930,1.0e-04,,,5.4
335,28.03,22.0203,27.9282,22.7275,0.3971,1.0e-04,,,5.4
336,26.16,20.3180,27.6201,22.5590,0.3935,1.0e-04,,,5.4
337,28.26,22.3801,29.4214,22.5633,0.3912,1.0e-04,,,5.4
338,27.23,21.3066,27.8250,22.5818,0.3971,1.0e-04,,,5.4
339,28.29,22.1855,29.2709,22.6476,0.4000,1.0e-04,,,5.4
340,27.38,21.5016,29.1193,22.8915,0.3956,1.0e-04,26.38,0.32,5.4
341,27.55,21.6582,29.2174,22.9460,0.3999,1.0e-04,,,5.4
342,27.67,21.6664,28.8503,22.9145,0.3946,1.0e-04,,,5.4
343,28.09,22.1277,29.9390,22.8714,0.3923,1.0e-04,,,5.4
344,28.42,22.4648,29.1025,22.6651,0.3926,1.0e-04,,,5.4
345,27.25,21.5328,28.7373,22.6661,0.3864,1.0e-04,,,5.4
346,26.84,21.0859,27.8316,22.4199,0.3968,1.0e-04,,,5.4
347,28.38,22.2566,28.1551,22.6104,0.4001,1.0e-04,,,5.4
