epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
85,2.791128,2.639949,0.2692,0.9043,0.8420,0.8720,0.1512,2.958320,2.805544,0.2583,0.7485,0.8161,0.7809,0.1528,0.1672,2.7e-03,178.7
86,2.787483,2.636442,0.2698,0.9023,0.8424,0.8713,0.1510,2.951418,2.799359,0.2603,0.6990,0.8371,0.7618,0.1521,0.1639,2.7e-03,178.7
87,2.788309,2.637353,0.2696,0.9046,0.8442,0.8733,0.1510,2.959418,2.808294,0.2599,0.6505,0.8698,0.7443,0.1511,0.1711,2.7e-03,179.5
88,2.783626,2.632621,0.2703,0.9050,0.8409,0.8717,0.1510,2.953564,2.801168,0.2592,0.6554,0.8683,0.7470,0.1524,0.1699,2.7e-03,178.8
89,2.779739,2.629303,0.2711,0.9063,0.8417,0.8728,0.1504,2.971643,2.821426,0.2592,0.5914,0.9029,0.7147,0.1502,0.1919,2.6e-03,179.3
90,2.776450,2.625972,0.2716,0.9040,0.8423,0.8721,0.1505,2.948434,2.800103,0.2595,0.6828,0.8454,0.7554,0.1483,0.1720,2.6e-03,178.6
91,2.773174,2.623838,0.2717,0.9024,0.8395,0.8698,0.1493,2.955484,2.806069,0.2597,0.7272,0.8385,0.7789,0.1494,0.1823,2.6e-03,178.7
92,2.765978,2.619814,0.2726,0.9055,0.8405,0.8718,0.1462,2.968629,2.820268,0.2595,0.6928,0.8537,0.7649,0.1484,0.2027,2.5e-03,179.2
93,2.763753,2.618209,0.2728,0.9093,0.8474,0.8772,0.1455,2.952502,2.805834,0.2600,0.7062,0.8478,0.7706,0.1467,0.1887,2.5e-03,178.7
94,2.761128,2.615495,0.2733,0.9030,0.8445,0.8728,0.1456,2.945686,2.799044,0.2612,0.7102,0.8488,0.7733,0.1466,0.1846,2.5e-03,178.8
95,2.757553,2.612043,0.2738,0.9061,0.8477,0.8759,0.1455,2.961280,2.815236,0.2596,0.7597,0.8112,0.7846,0.1460,0.2037,2.5e-03,179.3
96,2.755152,2.609842,0.2742,0.9105,0.8567,0.8828,0.1453,2.946361,2.803882,0.2607,0.6591,0.8883,0.7567,0.1425,0.1912,2.4e-03,178.7
97,2.751956,2.607083,0.2747,0.9047,0.8439,0.8733,0.1449,2.943129,2.798657,0.2616,0.6075,0.8946,0.7236,0.1445,0.1912,2.4e-03,178.8
98,2.749355,2.604523,0.2751,0.9088,0.8489,0.8778,0.1448,2.945316,2.795520,0.2622,0.7258,0.8468,0.7816,0.1498,0.1960,2.4e-03,179.3
99,2.745775,2.600835,0.2757,0.9089,0.8473,0.8770,0.1449,2.949387,2.804297,0.2613,0.6699,0.8751,0.7589,0.1451,0.2036,2.3e-03,178.7
100,2.743619,2.598750,0.2762,0.9098,0.8522,0.8800,0.1449,2.936357,2.792930,0.2630,0.6616,0.8785,0.7548,0.1434,0.1927,2.3e-03,178.7
101,2.739572,2.594968,0.2767,0.9096,0.8470,0.8772,0.1446,2.948732,2.805567,0.2619,0.6125,0.9044,0.7304,0.1432,0.2092,2.3e-03,179.3
102,2.735265,2.591100,0.2775,0.9083,0.8474,0.8768,0.1442,2.950494,2.805687,0.2627,0.5994,0.9063,0.7216,0.1448,0.2152,2.3e-03,178.6
103,2.735251,2.590808,0.2774,0.9100,0.8539,0.8811,0.1444,2.946545,2.799248,0.2630,0.6752,0.8620,0.7572,0.1473,0.2113,2.2e-03,178.6
104,2.732974,2.588320,0.2778,0.9122,0.8548,0.8826,0.1447,2.958980,2.810757,0.2623,0.7180,0.8434,0.7757,0.1482,0.2260,2.2e-03,179.2
105,2.727099,2.582891,0.2789,0.9119,0.8515,0.8807,0.1442,2.947710,2.804840,0.2627,0.6854,0.8702,0.7668,0.1429,0.2206,2.2e-03,178.8
106,2.725062,2.581271,0.2790,0.9083,0.8479,0.8771,0.1438,2.937077,2.790716,0.2643,0.6610,0.8751,0.7531,0.1464,0.2120,2.2e-03,178.6
107,2.722240,2.578193,0.2796,0.9083,0.8535,0.8800,0.1440,2.947932,2.807174,0.2625,0.7811,0.7971,0.7890,0.1408,0.2257,2.1e-03,179.3
108,2.719675,2.575562,0.2801,0.9098,0.8538,0.8809,0.1441,2.946861,2.805734,0.2629,0.6999,0.8463,0.7662,0.1411,0.2272,2.1e-03,178.8
109,2.717681,2.573819,0.2804,0.9128,0.8527,0.8817,0.1439,2.947131,2.805452,0.2637,0.6477,0.8907,0.7501,0.1417,0.2294,2.1e-03,178.8
110,2.712390,2.568780,0.2812,0.9109,0.8553,0.8823,0.1436,2.942271,2.794931,0.2649,0.6726,0.8780,0.7617,0.1473,0.2299,2.0e-03,179.2
111,2.711262,2.567311,0.2816,0.9136,0.8539,0.8827,0.1440,2.932610,2.791694,0.2636,0.6888,0.8659,0.7672,0.1409,0.2213,2.0e-03,178.8
112,2.706767,2.563473,0.2821,0.9153,0.8546,0.8839,0.1433,2.942685,2.805607,0.2639,0.6987,0.8517,0.7676,0.1371,0.2359,2.0e-03,178.8
113,2.702734,2.562389,0.2824,0.9170,0.8560,0.8855,0.1403,2.949545,2.810473,0.2631,0.6600,0.8683,0.7499,0.1391,0.2468,2.0e-03,180.0
114,2.701287,2.561041,0.2826,0.9139,0.8586,0.8854,0.1402,2.926248,2.787916,0.2649,0.6959,0.8639,0.7708,0.1383,0.2250,1.9e-03,178.8
115,2.695987,2.555785,0.2833,0.9158,0.8593,0.8867,0.1402,2.948527,2.806664,0.2641,0.6765,0.8741,0.7627,0.1419,0.2525,1.9e-03,178.7
116,2.692945,2.553076,0.2839,0.9197,0.8567,0.8871,0.1399,2.932298,2.793642,0.2649,0.6798,0.8732,0.7645,0.1387,0.2394,1.9e-03,179.3
117,2.691431,2.551921,0.2842,0.9165,0.8559,0.8852,0.1395,2.949667,2.807692,0.2639,0.7321,0.8346,0.7800,0.1420,0.2582,1.8e-03,178.8
118,2.686811,2.547270,0.2850,0.9165,0.8597,0.8871,0.1395,2.946561,2.806127,0.2647,0.6577,0.8800,0.7528,0.1404,0.2598,1.8e-03,178.8
119,2.684809,2.545671,0.2852,0.9156,0.8576,0.8856,0.1391,2.944209,2.807066,0.2643,0.6905,0.8629,0.7671,0.1371,0.2594,1.8e-03,179.3
120,2.681294,2.542239,0.2860,0.9194,0.8650,0.8913,0.1391,2.943094,2.802911,0.2648,0.6991,0.8634,0.7726,0.1402,0.2618,1.8e-03,178.6
121,2.678420,2.539507,0.2862,0.9172,0.8614,0.8884,0.1389,2.932207,2.792919,0.2660,0.7028,0.8639,0.7751,0.1393,0.2538,1.7e-03,179.3
122,2.676626,2.537823,0.2864,0.9183,0.8618,0.8892,0.1388,2.925074,2.787189,0.2668,0.7372,0.8459,0.7878,0.1379,0.2484,1.7e-03,178.6
123,2.672004,2.533161,0.2873,0.9191,0.8649,0.8912,0.1388,2.925586,2.790474,0.2668,0.7001,0.8654,0.7740,0.1351,0.2536,1.7e-03,178.7
124,2.671884,2.533270,0.2874,0.9183,0.8636,0.8901,0.1386,2.937155,2.801404,0.2662,0.6968,0.8800,0.7778,0.1358,0.2653,1.7e-03,179.2
125,2.667550,2.529040,0.2881,0.9201,0.8672,0.8929,0.1385,2.930304,2.791090,0.2669,0.6681,0.8946,0.7650,0.1392,0.2628,1.6e-03,178.7
126,2.664064,2.525410,0.2888,0.9209,0.8602,0.8895,0.1387,2.928624,2.789766,0.2668,0.6574,0.8985,0.7593,0.1389,0.2646,1.6e-03,178.6
127,2.662854,2.524256,0.2890,0.9219,0.8693,0.8948,0.1386,2.931843,2.796692,0.2677,0.6812,0.8839,0.7694,0.1352,0.2690,1.6e-03,179.3
128,2.660570,2.522059,0.2894,0.9173,0.8645,0.8901,0.1385,2.928281,2.789708,0.2671,0.7160,0.8771,0.7884,0.1386,0.2677,1.6e-03,178.7
129,2.657717,2.519235,0.2900,0.9190,0.8639,0.8906,0.1385,2.919534,2.784009,0.2681,0.7269,0.8673,0.7909,0.1355,0.2618,1.5e-03,178.7
130,2.653467,2.515455,0.2904,0.9231,0.8656,0.8934,0.1380,2.934242,2.790787,0.2678,0.7066,0.8741,0.7815,0.1435,0.2808,1.5e-03,179.4
131,2.651403,2.513512,0.2910,0.9172,0.8661,0.8909,0.1379,2.924156,2.789782,0.2676,0.6849,0.8844,0.7720,0.1344,0.2728,1.5e-03,178.8
132,2.648355,2.510389,0.2915,0.9212,0.8636,0.8915,0.1380,2.936388,2.798151,0.2669,0.7308,0.8634,0.7916,0.1382,0.2880,1.4e-03,178.6
133,2.647505,2.509789,0.2914,0.9213,0.8674,0.8935,0.1377,2.926539,2.791946,0.2678,0.7225,0.8610,0.7857,0.1346,0.2790,1.4e-03,179.4
134,2.643313,2.505565,0.2924,0.9249,0.8738,0.8986,0.1377,2.917955,2.783027,0.2684,0.7073,0.8712,0.7808,0.1349,0.2746,1.4e-03,178.9
135,2.641648,2.504014,0.2924,0.9213,0.8721,0.8960,0.1376,2.920200,2.783151,0.2689,0.6968,0.8824,0.7787,0.1370,0.2786,1.4e-03,178.9
136,2.639216,2.501383,0.2930,0.9215,0.8689,0.8945,0.1378,2.936625,2.798692,0.2675,0.7211,0.8488,0.7797,0.1379,0.2974,1.4e-03,179.9
137,2.636313,2.498876,0.2935,0.9246,0.8710,0.8970,0.1374,2.922169,2.784651,0.2694,0.6857,0.8780,0.7701,0.1375,0.2859,1.3e-03,178.9
138,2.634741,2.497422,0.2938,0.9248,0.8755,0.8995,0.1373,2.930028,2.793909,0.2688,0.7295,0.8629,0.7906,0.1361,0.2953,1.3e-03,178.8
139,2.629815,2.492579,0.2946,0.9213,0.8724,0.8962,0.1372,2.913113,2.777499,0.2700,0.7135,0.8649,0.7819,0.1356,0.2833,1.3e-03,179.9
140,2.628354,2.491152,0.2950,0.9222,0.8671,0.8938,0.1372,2.927181,2.791087,0.2681,0.7468,0.8576,0.7984,0.1361,0.2988,1.3e-03,179.2
141,2.624733,2.487769,0.2955,0.9236,0.8723,0.8972,0.1370,2.931932,2.795337,0.2691,0.6184,0.9059,0.7350,0.1366,0.3072,1.2e-03,178.8
142,2.621266,2.484335,0.2963,0.9249,0.8745,0.8990,0.1369,2.914239,2.778224,0.2704,0.6372,0.9039,0.7475,0.1360,0.2930,1.2e-03,179.8
143,2.620811,2.483775,0.2962,0.9261,0.8763,0.9005,0.1370,2.927427,2.789938,0.2695,0.6965,0.8810,0.7779,0.1375,0.3066,1.2e-03,178.9
144,2.619279,2.482445,0.2965,0.9261,0.8770,0.9009,0.1368,2.939184,2.801610,0.2689,0.6415,0.8980,0.7484,0.1376,0.3199,1.2e-03,178.8
145,2.615778,2.478721,0.2972,0.9235,0.8685,0.8952,0.1371,2.916596,2.780074,0.2709,0.7267,0.8585,0.7871,0.1365,0.3008,1.1e-03,179.9
146,2.611941,2.475029,0.2978,0.9278,0.8793,0.9029,0.1369,2.899630,2.765254,0.2716,0.7253,0.8605,0.7871,0.1344,0.2877,1.1e-03,178.9
147,2.611204,2.474279,0.2980,0.9227,0.8722,0.8968,0.1369,2.938781,2.802677,0.2688,0.6829,0.8917,0.7734,0.1361,0.3276,1.1e-03,178.7
148,2.609256,2.472537,0.2983,0.9284,0.8763,0.9016,0.1367,2.932386,2.796484,0.2697,0.7255,0.8805,0.7955,0.1359,0.3231,1.1e-03,179.1
149,2.607078,2.470284,0.2986,0.9242,0.8744,0.8986,0.1368,2.929832,2.794472,0.2699,0.7130,0.8751,0.7858,0.1354,0.3228,1.1e-03,178.6
150,2.604674,2.467831,0.2991,0.9262,0.8780,0.9015,0.1368,2.918783,2.781862,0.2705,0.6918,0.8912,0.7789,0.1369,0.3141,1.0e-03,178.5
151,2.603195,2.466408,0.2992,0.9286,0.8772,0.9022,0.1368,2.922888,2.787348,0.2708,0.6843,0.8873,0.7727,0.1355,0.3197,1.0e-03,179.3
152,2.599512,2.462795,0.3000,0.9256,0.8766,0.9004,0.1367,2.931646,2.794565,0.2706,0.7083,0.8790,0.7845,0.1371,0.3321,1.0e-03,178.6
153,2.596277,2.459697,0.3006,0.9251,0.8785,0.9012,0.1366,2.919683,2.784399,0.2713,0.7125,0.8776,0.7864,0.1353,0.3234,9.8e-04,179.2
